taxonomy,imt,iml_unit,noDamageLimit,iml,d0,d1,d2,d3,d4,d5
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,9.0,0.99998769845744395,0.99579488468904009,0.94684053190608886,0.76067677518020826,0.39622807497499035,0.046886768634273546
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,9.5,0.99999867377412477,0.99904030573397695,0.98160209949338906,0.88415058899313825,0.59908792373542552,0.1358701757648898
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,10.0,0.99999984324356472,0.99978441507290294,0.99407404988888359,0.94979515760007904,0.76679457223546854,0.28983073841855034
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,10.5,0.99999997689262732,0.99994699927504505,0.99805492203788559,0.97902745832875515,0.87531539534655012,0.47565077366344255
PSE-MURmanufactured-2-T-F-F-F-T,MMI,MMI,1,11.0,0.99999999547028307,0.99998475402256914,0.9993044524379403,0.99099363600984069,0.93519675121645474,0.64438194005497673
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,3.0,0.091198970245446098,0.010645826470208064,0.0010928642147007839,6.3404488178764318e-05,9.9160384325891471e-07,1.6289869453345318e-10
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,3.5,0.14528680147590967,0.018751283853667977,0.0020581330403353082,0.00012714055878015884,2.1407894709168929e-06,4.0026915115731754e-10
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,4.0,0.23038303011142092,0.034379285115012204,0.0041621525465789233,0.00028199640857906605,5.2945592963205002e-06,1.1983355419076247e-09
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,4.5,0.3572610885078723,0.065270365133463404,0.0090876583464131189,0.00070303281555295083,1.5441464052856624e-05,4.604264081109477e-09
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,5.0,0.52637649673484432,0.12557760047781485,0.021173741095378507,0.0019683191928931976,5.3783280649755127e-05,2.3563872408871589e-08
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,5.5,0.71213055040935314,0.23473197884668218,0.050685811247060175,0.0060005670708044301,0.00021908435959783201,1.6031888083745116e-07
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,6.0,0.86548151842892818,0.40303785178749418,0.11686290864292648,0.01862437135063999,0.00097571216384029213,1.3588241324358208e-06
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,6.5,0.95373891067509187,0.60599531459768863,0.24103663170353795,0.053744224295965037,0.0042717975778497896,1.2605736446236193e-05
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,7.0,0.98822955629782694,0.78726866054663303,0.42229256897993706,0.13305385648771972,0.016493411038028816,0.0001098521417415288
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,7.5,0.99769927801700897,0.90685250349155877,0.62302521928470589,0.27201289504711545,0.052509661771036109,0.00080416387041948312
PSE-MURsimplestone-5-T-F-F-T-T,MMI,MMI,1,8.0,0.9996439019421004,0.96695648215111785,0.79399737955790395,0.46068780964322786,0.13540230070708925,0.0047200416724276772
